goal,dimension,region_id,score,year
HAB,pressures,3,30.81,2006
HAB,pressures,4,30.01,2006
HAB,pressures,5,47.5,2006
HAB,pressures,6,18.86,2006
HAB,pressures,7,29.97,2006
HAB,pressures,8,23.43,2006
HAB,pressures,9,33.68,2006
HAB,pressures,10,45.03,2006
HAB,pressures,11,39.87,2006
HAB,pressures,0,37.14,2006
HS,pressures,1,19.04,2006
HS,pressures,2,18.89,2006
HS,pressures,3,16.18,2006
HS,pressures,4,21.39,2006
HS,pressures,5,46.33,2006
HS,pressures,6,20.09,2006
HS,pressures,7,27.67,2006
HS,pressures,8,20.64,2006
HS,pressures,9,30.04,2006
HS,pressures,10,42.8,2006
HS,pressures,11,34.65,2006
HS,pressures,0,35.09,2006
ICO,pressures,1,7.91,2006
ICO,pressures,2,11.58,2006
ICO,pressures,3,9.89,2006
ICO,pressures,4,12.8,2006
ICO,pressures,5,28.5,2006
ICO,pressures,6,13.45,2006
ICO,pressures,7,14.54,2006
ICO,pressures,8,11.59,2006
ICO,pressures,9,13.75,2006
ICO,pressures,10,25.44,2006
ICO,pressures,11,14.55,2006
ICO,pressures,0,27.47,2006
LE,pressures,1,NA,2006
LE,pressures,2,NA,2006
LE,pressures,3,NA,2006
LE,pressures,4,NA,2006
LE,pressures,5,NA,2006
LE,pressures,6,NA,2006
LE,pressures,7,NA,2006
LE,pressures,8,NA,2006
LE,pressures,9,NA,2006
LE,pressures,10,NA,2006
LE,pressures,11,NA,2006
LE,pressures,0,NA,2006
LIV,pressures,1,NA,2006
LIV,pressures,2,NA,2006
LIV,pressures,3,NA,2006
LIV,pressures,4,NA,2006
LIV,pressures,5,14.84,2006
LIV,pressures,6,10.15,2006
LIV,pressures,7,13.36,2006
LIV,pressures,8,7.24,2006
LIV,pressures,9,11.59,2006
LIV,pressures,10,13.43,2006
LIV,pressures,11,12.75,2006
LIV,pressures,0,11.51,2006
LSP,pressures,1,7.12,2006
LSP,pressures,2,21.25,2006
LSP,pressures,3,21.69,2006
LSP,pressures,4,23.03,2006
LSP,pressures,5,33.84,2006
LSP,pressures,6,17.74,2006
LSP,pressures,7,30.96,2006
LSP,pressures,8,26.16,2006
LSP,pressures,9,30.94,2006
LSP,pressures,10,42.89,2006
LSP,pressures,11,44.44,2006
LSP,pressures,0,29.57,2006
MAR,pressures,1,10.16,2006
MAR,pressures,2,15.13,2006
MAR,pressures,3,14.49,2006
MAR,pressures,4,16.77,2006
MAR,pressures,5,37.97,2006
MAR,pressures,6,16.58,2006
MAR,pressures,7,20.19,2006
MAR,pressures,8,15.2,2006
MAR,pressures,9,23.09,2006
MAR,pressures,10,39.15,2006
MAR,pressures,11,22.78,2006
MAR,pressures,0,39.19,2006
RAO,pressures,1,7.84,2006
RAO,pressures,2,15.22,2006
RAO,pressures,3,13.67,2006
RAO,pressures,4,16.65,2006
RAO,pressures,5,37.69,2006
RAO,pressures,6,21.18,2006
RAO,pressures,7,28.47,2006
RAO,pressures,8,20.53,2006
RAO,pressures,9,26.41,2006
RAO,pressures,10,38.15,2006
RAO,pressures,11,33.12,2006
RAO,pressures,0,30.62,2006
SP,pressures,1,NA,2006
SP,pressures,2,NA,2006
SP,pressures,3,NA,2006
SP,pressures,4,NA,2006
SP,pressures,5,NA,2006
SP,pressures,6,NA,2006
SP,pressures,7,NA,2006
SP,pressures,8,NA,2006
SP,pressures,9,NA,2006
SP,pressures,10,NA,2006
SP,pressures,11,NA,2006
SP,pressures,0,NA,2006
SPFIS,pressures,1,6.24,2006
SPFIS,pressures,2,14.7,2006
SPFIS,pressures,3,13.31,2006
SPFIS,pressures,4,15.97,2006
SPFIS,pressures,5,22.75,2006
SPFIS,pressures,6,13.68,2006
SPFIS,pressures,7,16.87,2006
SPFIS,pressures,8,13.52,2006
SPFIS,pressures,9,14.87,2006
SPFIS,pressures,10,23.44,2006
SPFIS,pressures,11,16.14,2006
SPFIS,pressures,0,19.84,2006
SPP,pressures,1,7.91,2006
SPP,pressures,2,11.58,2006
SPP,pressures,3,9.89,2006
SPP,pressures,4,12.8,2006
SPP,pressures,5,28.5,2006
SPP,pressures,6,13.45,2006
SPP,pressures,7,14.54,2006
SPP,pressures,8,11.59,2006
SPP,pressures,9,13.75,2006
SPP,pressures,10,25.44,2006
SPP,pressures,11,14.55,2006
SPP,pressures,0,27.47,2006
TR,pressures,1,0.1,2006
TR,pressures,2,4.37,2006
TR,pressures,3,2.15,2006
TR,pressures,4,4.54,2006
TR,pressures,5,30.59,2006
TR,pressures,6,13.65,2006
TR,pressures,7,20.76,2006
TR,pressures,8,15.47,2006
TR,pressures,9,20.57,2006
TR,pressures,10,31.51,2006
TR,pressures,11,35.25,2006
TR,pressures,0,22.38,2006
BD,pressures,1,NA,2007
BD,pressures,2,NA,2007
BD,pressures,3,NA,2007
BD,pressures,4,NA,2007
BD,pressures,5,NA,2007
BD,pressures,6,NA,2007
BD,pressures,7,NA,2007
BD,pressures,8,NA,2007
BD,pressures,9,NA,2007
BD,pressures,10,NA,2007
BD,pressures,11,NA,2007
BD,pressures,0,NA,2007
CW,pressures,1,17.32,2007
CW,pressures,2,12.62,2007
CW,pressures,3,15.14,2007
CW,pressures,4,16.23,2007
CW,pressures,5,56.79,2007
CW,pressures,6,19.87,2007
CW,pressures,7,28.88,2007
CW,pressures,8,28.12,2007
CW,pressures,9,42.66,2007
CW,pressures,10,55.22,2007
CW,pressures,11,45.28,2007
CW,pressures,0,40.66,2007
ECO,pressures,1,NA,2007
ECO,pressures,2,NA,2007
ECO,pressures,3,NA,2007
ECO,pressures,4,NA,2007
ECO,pressures,5,0,2007
ECO,pressures,6,2.22,2007
ECO,pressures,7,0.84,2007
ECO,pressures,8,0.89,2007
ECO,pressures,9,0.82,2007
ECO,pressures,10,0.32,2007
ECO,pressures,11,0.16,2007
ECO,pressures,0,1.11,2007
FIS,pressures,1,5.74,2007
FIS,pressures,2,11.9,2007
FIS,pressures,3,12.92,2007
FIS,pressures,4,14.82,2007
FIS,pressures,5,26.6,2007
FIS,pressures,6,12.21,2007
FIS,pressures,7,14.21,2007
FIS,pressures,8,11.38,2007
FIS,pressures,9,25.54,2007
FIS,pressures,10,19.93,2007
FIS,pressures,11,15.12,2007
FIS,pressures,0,22.94,2007
FP,pressures,1,NA,2007
FP,pressures,2,NA,2007
FP,pressures,3,NA,2007
FP,pressures,4,NA,2007
FP,pressures,5,NA,2007
FP,pressures,6,NA,2007
FP,pressures,7,NA,2007
FP,pressures,8,NA,2007
FP,pressures,9,NA,2007
FP,pressures,10,NA,2007
FP,pressures,11,NA,2007
FP,pressures,0,NA,2007
HAB,pressures,1,5.01,2007
HAB,pressures,2,27.21,2007
HAB,pressures,3,29.04,2007
HAB,pressures,4,29.32,2007
HAB,pressures,5,39.95,2007
