goal,dimension,region_id,score,year
ECO,resilience,5,NA,2006
ECO,resilience,6,NA,2006
ECO,resilience,7,NA,2006
ECO,resilience,8,NA,2006
ECO,resilience,9,NA,2006
ECO,resilience,10,NA,2006
ECO,resilience,11,NA,2006
ECO,resilience,0,NA,2006
FIS,resilience,1,69.99,2006
FIS,resilience,2,61.93,2006
FIS,resilience,3,56.76,2006
FIS,resilience,4,54.64,2006
FIS,resilience,5,63.61,2006
FIS,resilience,6,65.92,2006
FIS,resilience,7,67.46,2006
FIS,resilience,8,67.3,2006
FIS,resilience,9,66.54,2006
FIS,resilience,10,65.67,2006
FIS,resilience,11,61.84,2006
FIS,resilience,0,72.42,2006
FP,resilience,1,NA,2006
FP,resilience,2,NA,2006
FP,resilience,3,NA,2006
FP,resilience,4,NA,2006
FP,resilience,5,NA,2006
FP,resilience,6,NA,2006
FP,resilience,7,NA,2006
FP,resilience,8,NA,2006
FP,resilience,9,NA,2006
FP,resilience,10,NA,2006
FP,resilience,11,NA,2006
FP,resilience,0,NA,2006
HAB,resilience,1,79.74,2006
HAB,resilience,2,55.14,2006
HAB,resilience,3,53.17,2006
HAB,resilience,4,47.68,2006
HAB,resilience,5,71.23,2006
HAB,resilience,6,73.05,2006
HAB,resilience,7,74.45,2006
HAB,resilience,8,74.45,2006
HAB,resilience,9,72.45,2006
HAB,resilience,10,72.6,2006
HAB,resilience,11,68.24,2006
HAB,resilience,0,76.03,2006
HS,resilience,1,79.74,2006
HS,resilience,2,55.14,2006
HS,resilience,3,53.17,2006
HS,resilience,4,47.68,2006
HS,resilience,5,71.23,2006
HS,resilience,6,73.05,2006
HS,resilience,7,74.45,2006
HS,resilience,8,74.45,2006
HS,resilience,9,72.45,2006
HS,resilience,10,72.6,2006
HS,resilience,11,68.24,2006
HS,resilience,0,76.03,2006
ICO,resilience,1,60.24,2006
ICO,resilience,2,68.71,2006
ICO,resilience,3,60.36,2006
ICO,resilience,4,61.6,2006
ICO,resilience,5,66.66,2006
ICO,resilience,6,69.41,2006
ICO,resilience,7,71.04,2006
ICO,resilience,8,70.81,2006
ICO,resilience,9,70.36,2006
ICO,resilience,10,69.05,2006
ICO,resilience,11,64,2006
ICO,resilience,0,74.1,2006
LE,resilience,1,NA,2006
LE,resilience,2,NA,2006
LE,resilience,3,NA,2006
LE,resilience,4,NA,2006
LE,resilience,5,NA,2006
LE,resilience,6,NA,2006
LE,resilience,7,NA,2006
LE,resilience,8,NA,2006
LE,resilience,9,NA,2006
LE,resilience,10,NA,2006
LE,resilience,11,NA,2006
LE,resilience,0,NA,2006
LIV,resilience,1,NA,2006
LIV,resilience,2,NA,2006
LIV,resilience,3,NA,2006
LIV,resilience,4,NA,2006
LIV,resilience,5,NA,2006
LIV,resilience,6,NA,2006
LIV,resilience,7,NA,2006
LIV,resilience,8,NA,2006
LIV,resilience,9,NA,2006
LIV,resilience,10,NA,2006
LIV,resilience,11,NA,2006
LIV,resilience,0,NA,2006
LSP,resilience,1,69.99,2006
LSP,resilience,2,61.93,2006
LSP,resilience,3,56.76,2006
LSP,resilience,4,54.64,2006
LSP,resilience,5,68.57,2006
LSP,resilience,6,69.91,2006
LSP,resilience,7,71.09,2006
LSP,resilience,8,70.98,2006
LSP,resilience,9,70.62,2006
LSP,resilience,10,69.8,2006
LSP,resilience,11,66.29,2006
LSP,resilience,0,74.86,2006
MAR,resilience,1,NA,2006
MAR,resilience,2,NA,2006
MAR,resilience,3,NA,2006
MAR,resilience,4,NA,2006
MAR,resilience,5,63.17,2006
MAR,resilience,6,66.22,2006
MAR,resilience,7,65.47,2006
MAR,resilience,8,65.47,2006
MAR,resilience,9,63.93,2006
MAR,resilience,10,64.07,2006
MAR,resilience,11,60.17,2006
MAR,resilience,0,64.27,2006
RAO,resilience,1,69.99,2006
RAO,resilience,2,61.93,2006
RAO,resilience,3,56.76,2006
RAO,resilience,4,54.64,2006
RAO,resilience,5,68.57,2006
RAO,resilience,6,69.91,2006
RAO,resilience,7,71.09,2006
RAO,resilience,8,70.98,2006
RAO,resilience,9,70.62,2006
RAO,resilience,10,69.8,2006
RAO,resilience,11,66.29,2006
RAO,resilience,0,74.86,2006
SP,resilience,1,NA,2006
SP,resilience,2,NA,2006
SP,resilience,3,NA,2006
SP,resilience,4,NA,2006
SP,resilience,5,NA,2006
SP,resilience,6,NA,2006
SP,resilience,7,NA,2006
SP,resilience,8,NA,2006
SP,resilience,9,NA,2006
SP,resilience,10,NA,2006
SP,resilience,11,NA,2006
SP,resilience,0,NA,2006
SPFIS,resilience,1,69.99,2006
SPFIS,resilience,2,61.93,2006
SPFIS,resilience,3,56.76,2006
SPFIS,resilience,4,54.64,2006
SPFIS,resilience,5,56.04,2006
SPFIS,resilience,6,59.06,2006
SPFIS,resilience,7,58.93,2006
SPFIS,resilience,8,58.81,2006
SPFIS,resilience,9,58.24,2006
SPFIS,resilience,10,57.59,2006
SPFIS,resilience,11,54.72,2006
SPFIS,resilience,0,62.76,2006
SPP,resilience,1,60.24,2006
SPP,resilience,2,68.71,2006
SPP,resilience,3,60.36,2006
SPP,resilience,4,61.6,2006
SPP,resilience,5,66.66,2006
SPP,resilience,6,69.41,2006
SPP,resilience,7,71.04,2006
SPP,resilience,8,70.81,2006
SPP,resilience,9,70.36,2006
SPP,resilience,10,69.05,2006
SPP,resilience,11,64,2006
SPP,resilience,0,74.1,2006
TR,resilience,1,69.99,2006
TR,resilience,2,61.93,2006
TR,resilience,3,56.76,2006
TR,resilience,4,54.64,2006
TR,resilience,5,68.57,2006
TR,resilience,6,69.91,2006
TR,resilience,7,71.09,2006
TR,resilience,8,70.98,2006
TR,resilience,9,70.62,2006
TR,resilience,10,69.8,2006
TR,resilience,11,66.29,2006
TR,resilience,0,74.86,2006
BD,resilience,1,NA,2007
BD,resilience,2,NA,2007
BD,resilience,3,NA,2007
BD,resilience,4,NA,2007
BD,resilience,5,NA,2007
BD,resilience,6,NA,2007
BD,resilience,7,NA,2007
BD,resilience,8,NA,2007
BD,resilience,9,NA,2007
BD,resilience,10,NA,2007
BD,resilience,11,NA,2007
BD,resilience,0,NA,2007
CW,resilience,1,NA,2007
CW,resilience,2,NA,2007
CW,resilience,3,NA,2007
CW,resilience,4,NA,2007
CW,resilience,5,77.04,2007
CW,resilience,6,79.72,2007
CW,resilience,7,76.2,2007
CW,resilience,8,76.2,2007
CW,resilience,9,78.18,2007
CW,resilience,10,78.06,2007
CW,resilience,11,73.17,2007
CW,resilience,0,77.48,2007
ECO,resilience,1,NA,2007
ECO,resilience,2,NA,2007
ECO,resilience,3,NA,2007
ECO,resilience,4,NA,2007
ECO,resilience,5,NA,2007
ECO,resilience,6,NA,2007
ECO,resilience,7,NA,2007
ECO,resilience,8,NA,2007
ECO,resilience,9,NA,2007
ECO,resilience,10,NA,2007
ECO,resilience,11,NA,2007
ECO,resilience,0,NA,2007
FIS,resilience,1,69.98,2007
FIS,resilience,2,61.93,2007
FIS,resilience,3,56.75,2007
FIS,resilience,4,54.63,2007
FIS,resilience,5,62.58,2007
FIS,resilience,6,65.74,2007
FIS,resilience,7,63.76,2007
FIS,resilience,8,63.61,2007
FIS,resilience,9,65.74,2007
FIS,resilience,10,64.7,2007
FIS,resilience,11,60.9,2007
FIS,resilience,0,70.95,2007
FP,resilience,1,NA,2007
FP,resilience,2,NA,2007
FP,resilience,3,NA,2007
FP,resilience,4,NA,2007
FP,resilience,5,NA,2007
FP,resilience,6,NA,2007
FP,resilience,7,NA,2007
FP,resilience,8,NA,2007
FP,resilience,9,NA,2007
FP,resilience,10,NA,2007
FP,resilience,11,NA,2007
FP,resilience,0,NA,2007
HAB,resilience,1,79.74,2007
HAB,resilience,2,55.14,2007
HAB,resilience,3,53.17,2007
HAB,resilience,4,47.68,2007
HAB,resilience,5,70.53,2007
HAB,resilience,6,72.8,2007
HAB,resilience,7,70.9,2007
HAB,resilience,8,70.9,2007
HAB,resilience,9,71.76,2007
HAB,resilience,10,71.67,2007
HAB,resilience,11,67.96,2007
HAB,resilience,0,74.68,2007
HS,resilience,1,79.74,2007
HS,resilience,2,55.14,2007
HS,resilience,3,53.17,2007
HS,resilience,4,47.68,2007
HS,resilience,5,70.53,2007
HS,resilience,6,72.8,2007
HS,resilience,7,70.9,2007
HS,resilience,8,70.9,2007
HS,resilience,9,71.76,2007
HS,resilience,10,71.67,2007
HS,resilience,11,67.96,2007
HS,resilience,0,74.68,2007
ICO,resilience,1,60.22,2007
ICO,resilience,2,68.72,2007
ICO,resilience,3,60.33,2007
ICO,resilience,4,61.57,2007
ICO,resilience,5,65.11,2007
ICO,resilience,6,69.13,2007
ICO,resilience,7,65.49,2007
ICO,resilience,8,65.27,2007
ICO,resilience,9,69.16,2007
ICO,resilience,10,67.59,2007
ICO,resilience,11,62.58,2007
ICO,resilience,0,71.9,2007
LE,resilience,1,NA,2007
LE,resilience,2,NA,2007
LE,resilience,3,NA,2007
LE,resilience,4,NA,2007
LE,resilience,5,NA,2007
LE,resilience,6,NA,2007
LE,resilience,7,NA,2007
LE,resilience,8,NA,2007
LE,resilience,9,NA,2007
LE,resilience,10,NA,2007
LE,resilience,11,NA,2007
LE,resilience,0,NA,2007
LIV,resilience,1,NA,2007
LIV,resilience,2,NA,2007
LIV,resilience,3,NA,2007
LIV,resilience,4,NA,2007
LIV,resilience,5,NA,2007
LIV,resilience,6,NA,2007
LIV,resilience,7,NA,2007
LIV,resilience,8,NA,2007
LIV,resilience,9,NA,2007
LIV,resilience,10,NA,2007
LIV,resilience,11,NA,2007
LIV,resilience,0,NA,2007
LSP,resilience,1,69.98,2007
LSP,resilience,2,61.93,2007
LSP,resilience,3,56.75,2007
LSP,resilience,4,54.63,2007
LSP,resilience,5,68.03,2007
LSP,resilience,6,69.71,2007
LSP,resilience,7,68.42,2007
LSP,resilience,8,68.31,2007
LSP,resilience,9,70.1,2007
LSP,resilience,10,69.09,2007
LSP,resilience,11,66.08,2007
LSP,resilience,0,73.84,2007
MAR,resilience,1,NA,2007
MAR,resilience,2,NA,2007
MAR,resilience,3,NA,2007
MAR,resilience,4,NA,2007
MAR,resilience,5,62.47,2007
MAR,resilience,6,64.26,2007
MAR,resilience,7,61.91,2007
MAR,resilience,8,61.91,2007
MAR,resilience,9,63.23,2007
MAR,resilience,10,63.15,2007
MAR,resilience,11,59.89,2007
MAR,resilience,0,62.77,2007
