goal,dimension,region_id,score,year
LSP,resilience,9,59.78,2006
LSP,resilience,10,56.4,2006
LSP,resilience,11,61.85,2006
LSP,resilience,0,56.43,2006
MAR,resilience,1,NA,2006
MAR,resilience,2,NA,2006
MAR,resilience,3,NA,2006
MAR,resilience,4,NA,2006
MAR,resilience,5,65.7,2006
MAR,resilience,6,59.2,2006
MAR,resilience,7,69.48,2006
MAR,resilience,8,67.73,2006
MAR,resilience,9,59.78,2006
MAR,resilience,10,56.4,2006
MAR,resilience,11,61.85,2006
MAR,resilience,0,56.43,2006
RAO,resilience,1,NA,2006
RAO,resilience,2,NA,2006
RAO,resilience,3,NA,2006
RAO,resilience,4,NA,2006
RAO,resilience,5,65.7,2006
RAO,resilience,6,59.2,2006
RAO,resilience,7,69.48,2006
RAO,resilience,8,67.73,2006
RAO,resilience,9,59.78,2006
RAO,resilience,10,56.4,2006
RAO,resilience,11,61.85,2006
RAO,resilience,0,56.43,2006
SP,resilience,1,NA,2006
SP,resilience,2,NA,2006
SP,resilience,3,NA,2006
SP,resilience,4,NA,2006
SP,resilience,5,NA,2006
SP,resilience,6,NA,2006
SP,resilience,7,NA,2006
SP,resilience,8,NA,2006
SP,resilience,9,NA,2006
SP,resilience,10,NA,2006
SP,resilience,11,NA,2006
SP,resilience,0,NA,2006
SPFIS,resilience,1,NA,2006
SPFIS,resilience,2,NA,2006
SPFIS,resilience,3,NA,2006
SPFIS,resilience,4,NA,2006
SPFIS,resilience,5,65.7,2006
SPFIS,resilience,6,59.2,2006
SPFIS,resilience,7,69.48,2006
SPFIS,resilience,8,67.73,2006
SPFIS,resilience,9,59.78,2006
SPFIS,resilience,10,56.4,2006
SPFIS,resilience,11,61.85,2006
SPFIS,resilience,0,56.43,2006
SPP,resilience,1,NA,2006
SPP,resilience,2,NA,2006
SPP,resilience,3,NA,2006
SPP,resilience,4,NA,2006
SPP,resilience,5,65.7,2006
SPP,resilience,6,59.2,2006
SPP,resilience,7,69.48,2006
SPP,resilience,8,67.73,2006
SPP,resilience,9,59.78,2006
SPP,resilience,10,56.4,2006
SPP,resilience,11,61.85,2006
SPP,resilience,0,56.43,2006
TR,resilience,1,NA,2006
TR,resilience,2,NA,2006
TR,resilience,3,NA,2006
TR,resilience,4,NA,2006
TR,resilience,5,65.7,2006
TR,resilience,6,59.2,2006
TR,resilience,7,69.48,2006
TR,resilience,8,67.73,2006
TR,resilience,9,59.78,2006
TR,resilience,10,56.4,2006
TR,resilience,11,61.85,2006
TR,resilience,0,56.43,2006
NA,resilience,1,NA,2006
NA,resilience,2,NA,2006
NA,resilience,3,NA,2006
NA,resilience,4,NA,2006
BD,resilience,1,NA,2007
BD,resilience,2,NA,2007
BD,resilience,3,NA,2007
BD,resilience,4,NA,2007
BD,resilience,5,NA,2007
BD,resilience,6,NA,2007
BD,resilience,7,NA,2007
BD,resilience,8,NA,2007
BD,resilience,9,NA,2007
BD,resilience,10,NA,2007
BD,resilience,11,NA,2007
BD,resilience,0,NA,2007
CW,resilience,1,NA,2007
CW,resilience,2,NA,2007
CW,resilience,3,NA,2007
CW,resilience,4,NA,2007
CW,resilience,5,NA,2007
CW,resilience,6,NA,2007
CW,resilience,7,NA,2007
CW,resilience,8,NA,2007
CW,resilience,9,NA,2007
CW,resilience,10,NA,2007
CW,resilience,11,NA,2007
CW,resilience,0,NA,2007
ECO,resilience,1,NA,2007
ECO,resilience,2,NA,2007
ECO,resilience,3,NA,2007
ECO,resilience,4,NA,2007
ECO,resilience,5,63.25,2007
ECO,resilience,6,62.38,2007
ECO,resilience,7,70.83,2007
ECO,resilience,8,69.08,2007
ECO,resilience,9,61.36,2007
ECO,resilience,10,59.22,2007
ECO,resilience,11,64.33,2007
ECO,resilience,0,58.35,2007
FIS,resilience,1,NA,2007
FIS,resilience,2,NA,2007
FIS,resilience,3,NA,2007
FIS,resilience,4,NA,2007
FIS,resilience,5,63.25,2007
FIS,resilience,6,62.38,2007
FIS,resilience,7,70.83,2007
FIS,resilience,8,69.08,2007
FIS,resilience,9,61.36,2007
FIS,resilience,10,59.22,2007
FIS,resilience,11,64.33,2007
FIS,resilience,0,58.35,2007
FP,resilience,1,NA,2007
FP,resilience,2,NA,2007
FP,resilience,3,NA,2007
FP,resilience,4,NA,2007
FP,resilience,5,NA,2007
FP,resilience,6,NA,2007
FP,resilience,7,NA,2007
FP,resilience,8,NA,2007
FP,resilience,9,NA,2007
FP,resilience,10,NA,2007
FP,resilience,11,NA,2007
FP,resilience,0,NA,2007
HAB,resilience,1,NA,2007
HAB,resilience,2,NA,2007
HAB,resilience,3,NA,2007
HAB,resilience,4,NA,2007
HAB,resilience,5,63.25,2007
HAB,resilience,6,62.38,2007
HAB,resilience,7,70.83,2007
HAB,resilience,8,69.08,2007
HAB,resilience,9,61.36,2007
HAB,resilience,10,59.22,2007
HAB,resilience,11,64.33,2007
HAB,resilience,0,58.35,2007
HS,resilience,1,NA,2007
HS,resilience,2,NA,2007
HS,resilience,3,NA,2007
HS,resilience,4,NA,2007
HS,resilience,5,63.25,2007
HS,resilience,6,62.38,2007
HS,resilience,7,70.83,2007
HS,resilience,8,69.08,2007
HS,resilience,9,61.36,2007
HS,resilience,10,59.22,2007
HS,resilience,11,64.33,2007
HS,resilience,0,58.35,2007
ICO,resilience,1,NA,2007
ICO,resilience,2,NA,2007
ICO,resilience,3,NA,2007
ICO,resilience,4,NA,2007
ICO,resilience,5,63.25,2007
ICO,resilience,6,62.38,2007
ICO,resilience,7,70.83,2007
ICO,resilience,8,69.08,2007
ICO,resilience,9,61.36,2007
ICO,resilience,10,59.22,2007
ICO,resilience,11,64.33,2007
ICO,resilience,0,58.35,2007
LE,resilience,1,NA,2007
LE,resilience,2,NA,2007
LE,resilience,3,NA,2007
LE,resilience,4,NA,2007
LE,resilience,5,NA,2007
LE,resilience,6,NA,2007
LE,resilience,7,NA,2007
LE,resilience,8,NA,2007
LE,resilience,9,NA,2007
LE,resilience,10,NA,2007
LE,resilience,11,NA,2007
LE,resilience,0,NA,2007
LIV,resilience,1,NA,2007
LIV,resilience,2,NA,2007
LIV,resilience,3,NA,2007
LIV,resilience,4,NA,2007
LIV,resilience,5,63.25,2007
LIV,resilience,6,62.38,2007
LIV,resilience,7,70.83,2007
LIV,resilience,8,69.08,2007
LIV,resilience,9,61.36,2007
