rgn_id,year,pressure_score,rgn_name
2,2012,0.06756555525613246,Georges Bank
3,2012,0.046807982384831706,Gulf of Maine
4,2012,0.09588966548263984,Mid-Atlantic Bight
5,2012,0.14190727581815143,Connecticut
6,2012,0.10202987529695844,Maine
7,2012,0.13644342741846407,Massachusetts-North
8,2012,0.1506298015764059,Massachusetts-South
9,2012,0.17581372209098362,New Hampshire
10,2012,0.18683064164669558,New York
11,2012,0.11866010708440451,Rhode Island
1,2013,9.625996591132044e-4,Offshore
2,2013,0.047077038408942194,Georges Bank
3,2013,0.042343037210715084,Gulf of Maine
4,2013,0.06478415860034055,Mid-Atlantic Bight
5,2013,0.18454528408335263,Connecticut
6,2013,0.13626111029529817,Maine
7,2013,0.18389378248558605,Massachusetts-North
8,2013,0.05840359988516565,Massachusetts-South
9,2013,0.22030161300656992,New Hampshire
10,2013,0.12225193734946392,New York
11,2013,0.09431545852469501,Rhode Island
1,2014,0.0010102567212669068,Offshore
2,2014,0.03347093981270884,Georges Bank
3,2014,0.04194730329977058,Gulf of Maine
4,2014,0.030467724057672178,Mid-Atlantic Bight
5,2014,0.09199140886617262,Connecticut
6,2014,0.13666227097689704,Maine
7,2014,0.21552015964213989,Massachusetts-North
8,2014,0.03961845240255277,Massachusetts-South
9,2014,0.18189219098298923,New Hampshire
10,2014,0.0867021056746698,New York
11,2014,0.09828387397301071,Rhode Island
1,2015,0.0022067606307373763,Offshore
2,2015,0.05640046671863044,Georges Bank
3,2015,0.04742062123279714,Gulf of Maine
4,2015,0.05059927263731618,Mid-Atlantic Bight
5,2015,0.10658295215975268,Connecticut
6,2015,0.16985771464483687,Maine
7,2015,0.2604140304034182,Massachusetts-North
8,2015,0.07490739841040271,Massachusetts-South
9,2015,0.8252328226872541,New Hampshire
10,2015,0.09665389179910577,New York
11,2015,0.1161167362578463,Rhode Island
12,2000,0.03910590772151441,Northeast
12,2001,0.04680301323957922,Northeast
12,2002,0.045732126669749094,Northeast
12,2003,0.04715386223585506,Northeast
12,2004,0.04555250017061224,Northeast
12,2005,0.03273523454348273,Northeast
12,2006,0.040516695384469004,Northeast
12,2007,0.03770305262004243,Northeast
12,2008,0.04128943381087542,Northeast
12,2009,0.04002921334199225,Northeast
12,2010,0.05213851545847202,Northeast
12,2011,0.05417239035780413,Northeast
12,2012,0.04759094382323878,Northeast
12,2013,0.03799384117482079,Northeast
12,2014,0.029400481763347606,Northeast
12,2015,0.040850679238499964,Northeast
