"sciname","score","year"
"caulophryne polynema",NA,2017
"centrophryne spinulosa",NA,2017
"ceratias holboelli",NA,2017
"ceratias uranoscopus",NA,2017
"cryptopsaras couesii",NA,2017
"bufoceratias wedli",NA,2017
"diceratias pileatus",NA,2017
"gigantactis gibbsi",NA,2017
"gigantactis ios",NA,2017
"gigantactis longicirra",NA,2017
"gigantactis vanhoeffeni",NA,2017
"himantolophus albinares",NA,2017
"himantolophus brevirostris",NA,2017
"himantolophus groenlandicus",NA,2017
"himantolophus rostratus",NA,2017
"haplophryne mollis",NA,2017
"linophryne pennibarbata",NA,2017
"melanocetus johnsonii",NA,2017
"neoceratias spinifer",NA,2017
"dibranchus atlanticus",NA,2017
"dibranchus tremendus",NA,2017
"chaenophryne draco",NA,2017
"chaenophryne longiceps",NA,2017
"chaenophryne ramifera",NA,2017
"dolopichthys allector",NA,2017
"dolopichthys danae",NA,2017
"dolopichthys longicornis",NA,2017
"dolopichthys pullatus",NA,2017
"leptacanthichthys gracilispinis",NA,2017
"lophodolos acanthognathus",NA,2017
"microlophichthys microlophus",NA,2017
"oneirodes eschrichtii",NA,2017
"oneirodes macrosteus",NA,2017
"pentherichthys atratus",NA,2017
"phyllorhinichthys balushkini",NA,2017
"spiniphryne gladisfenae",NA,2017
"lutjanus cyanopterus",-0.025,2017
"lutjanus griseus",NA,2017
"lutjanus jocu",-0.025,2017
"ocyurus chrysurus",-0.025,2017
"luvarus imperialis",NA,2017
"lopholatilus chamaeleonticeps",-0.025,2017
"phocoena phocoena",NA,2017
"stenella clymene",NA,2017
"lagenorhynchus albirostris",NA,2017
"mesoplodon europaeus",NA,2017
"globicephala melas",NA,2017
"eubalaena glacialis",-0.025,2017
"ziphius cavirostris",NA,2017
"phoca vitulina",NA,2017
"stenella coeruleoalba",NA,2017
"balaenoptera musculus",0.025,2017
"balaenoptera edeni",NA,2017
"mesoplodon mirus",NA,2017
"orcinus orca",NA,2017
"halichoerus grypus",0.025,2017
"megaptera novaeangliae",0.025,2017
"lagenorhynchus acutus",NA,2017
"cystophora cristata",NA,2017
"tursiops truncatus",NA,2017
"physeter macrocephalus",NA,2017
"mesoplodon densirostris",NA,2017
"kogia breviceps",NA,2017
"kogia sima",NA,2017
"pagophilus groenlandicus",0.025,2017
"balaenoptera acutorostrata",NA,2017
"balaenoptera physalus",0.025,2017
"grampus griseus",NA,2017
"stenella attenuata",NA,2017
"stenella frontalis",NA,2017
"stenella longirostris",NA,2017
"globicephala macrorhynchus",NA,2017
"delphinus delphis",NA,2017
"balaenoptera borealis",0.025,2017
"mesoplodon bidens",NA,2017
"hyperoodon ampullatus",NA,2017
"morone saxatilis",NA,2017
"mugil cephalus",0,2017
"mugil curema",NA,2017
"mullus auratus",NA,2017
"pseudupeneus maculatus",NA,2017
"benthosema glaciale",0,2017
"benthosema suborbitale",0,2017
"bolinichthys indicus",0,2017
"bolinichthys photothorax",0,2017
"bolinichthys supralateralis",NA,2017
"centrobranchus nigroocellatus",0,2017
"ceratoscopelus maderensis",NA,2017
"ceratoscopelus warmingii",0,2017
"diaphus bertelseni",NA,2017
"diaphus brachycephalus",NA,2017
"diaphus dumerilii",0,2017
"diaphus effulgens",0,2017
"diaphus fragilis",NA,2017
"diaphus garmani",NA,2017
"diaphus lucidus",NA,2017
"diaphus luetkeni",NA,2017
"diaphus metopoclampus",NA,2017
"diaphus mollis",0,2017
"diaphus perspicillatus",0,2017
"diaphus problematicus",NA,2017
"diaphus rafinesquii",NA,2017
"diaphus splendidus",NA,2017
"diaphus subtilis",NA,2017
"diaphus taaningi",0,2017
"diaphus termophilus",0,2017
"diogenichthys atlanticus",0,2017
"electrona risso",NA,2017
"gonichthys cocco",0,2017
"hygophum benoiti",0,2017
"hygophum hygomii",NA,2017
"hygophum macrochir",NA,2017
"hygophum reinhardtii",NA,2017
"hygophum taaningi",NA,2017
"lampadena anomala",NA,2017
"lampadena chavesi",NA,2017
"lampadena luminosa",NA,2017
"lampadena speculigera",NA,2017
"lampanyctus alatus",NA,2017
"lampanyctus crocodilus",NA,2017
"lampanyctus festivus",NA,2017
"lampanyctus intricarius",NA,2017
"lampanyctus macdonaldi",NA,2017
"lampanyctus nobilis",NA,2017
"lampanyctus photonotus",NA,2017
"lampanyctus pusillus",NA,2017
"lepidophanes gaussi",0,2017
"lepidophanes guentheri",0,2017
"lobianchia dofleini",0,2017
"lobianchia gemellarii",NA,2017
"loweina interrupta",NA,2017
"loweina rara",NA,2017
"myctophum affine",0,2017
"myctophum asperum",0,2017
"myctophum nitidulum",0,2017
"myctophum obtusirostre",NA,2017
"myctophum punctatum",0,2017
"myctophum selenops",NA,2017
"nannobrachium atrum",NA,2017
"nannobrachium cuprarium",NA,2017
"nannobrachium lineatum",NA,2017
"notolychnus valdiviae",0,2017
"notoscopelus bolini",NA,2017
"notoscopelus caudispinosus",NA,2017
"notoscopelus resplendens",0,2017
"symbolophorus rufinus",NA,2017
"symbolophorus veranyi",NA,2017
"taaningichthys bathyphilus",NA,2017
"taaningichthys minimus",NA,2017
"cubiceps capensis",NA,2017
"cubiceps pauciradiatus",NA,2017
"nomeus gronovii",NA,2017
"psenes cyanophrys",NA,2017
"psenes pellucidus",NA,2017
"aldrovandia affinis",NA,2017
"aldrovandia gracilis",NA,2017
"aldrovandia phalacra",NA,2017
"halosauropsis macrochir",NA,2017
"halosaurus guentheri",NA,2017
"notacanthus chemnitzii",NA,2017
"polyacanthonotus challengeri",NA,2017
"polyacanthonotus merretti",NA,2017
"abyssobrotula galatheae",NA,2017
"bassozetus compressus",NA,2017
"bassozetus levistomatus",NA,2017
"bassozetus normalis",NA,2017
"bathyonus laticeps",NA,2017
"benthocometes robustus",NA,2017
"dicrolene introniger",NA,2017
"lamprogrammus brunswigi",NA,2017
"lamprogrammus shcherbachevi",NA,2017
"lepophidium brevibarbe",NA,2017
"lepophidium profundorum",NA,2017
"ophidion marginatum",0,2017
"penopus microphthalmus",NA,2017
"porogadus miles",NA,2017
"spectrunculus grandis",NA,2017
