scenario_year,layer_name,data_year
2008,hd_subtidal_hb,2012
2009,hd_subtidal_hb,2012
2010,hd_subtidal_hb,2012
2011,hd_subtidal_hb,2012
2012,hd_subtidal_hb,2012
2013,hd_subtidal_hb,2012
2014,hd_subtidal_hb,2012
2015,hd_subtidal_hb,2012
2016,hd_subtidal_hb,2012
2017,hd_subtidal_hb,2012
2005,hd_subtidal_sb,2009
2006,hd_subtidal_sb,2009
2007,hd_subtidal_sb,2009
2008,hd_subtidal_sb,2009
2009,hd_subtidal_sb,2009
2010,hd_subtidal_sb,2009
2011,hd_subtidal_sb,2009
2012,hd_subtidal_sb,2009
2013,hd_subtidal_sb,2010
2014,hd_subtidal_sb,2011
2015,hd_subtidal_sb,2012
2016,hd_subtidal_sb,2013
2017,hd_subtidal_sb,2014
2005,hs_carbon_storage,2006
2006,hs_carbon_storage,2006
2007,hs_carbon_storage,2007
2008,hs_carbon_storage,2008
2009,hs_carbon_storage,2009
2010,hs_carbon_storage,2010
2011,hs_carbon_storage,2011
2012,hs_carbon_storage,2012
2013,hs_carbon_storage,2013
2014,hs_carbon_storage,2014
2015,hs_carbon_storage,2015
2016,hs_carbon_storage,2016
2017,hs_carbon_storage,2017
2005,hs_coastal_protection,2006
2006,hs_coastal_protection,2006
2007,hs_coastal_protection,2007
2008,hs_coastal_protection,2008
2009,hs_coastal_protection,2009
2010,hs_coastal_protection,2010
2011,hs_coastal_protection,2011
2012,hs_coastal_protection,2012
2013,hs_coastal_protection,2013
2014,hs_coastal_protection,2014
2015,hs_coastal_protection,2015
2016,hs_coastal_protection,2016
2017,hs_coastal_protection,2017
2005,ico_scores,2005
2006,ico_scores,2006
2007,ico_scores,2007
2008,ico_scores,2008
2009,ico_scores,2009
2010,ico_scores,2010
2011,ico_scores,2011
2012,ico_scores,2012
2013,ico_scores,2013
2014,ico_scores,2014
2015,ico_scores,2015
2016,ico_scores,2016
2017,ico_scores,2017
2005,le_coast_wages,2008
2006,le_coast_wages,2008
2007,le_coast_wages,2008
2008,le_coast_wages,2008
2009,le_coast_wages,2009
2010,le_coast_wages,2010
2011,le_coast_wages,2011
2012,le_coast_wages,2012
2013,le_coast_wages,2013
2014,le_coast_wages,2014
2015,le_coast_wages,2015
2016,le_coast_wages,2016
2017,le_coast_wages,2016
2005,le_job_growth,2008
2006,le_job_growth,2008
2007,le_job_growth,2008
2008,le_job_growth,2008
2009,le_job_growth,2009
2010,le_job_growth,2010
2011,le_job_growth,2011
2012,le_job_growth,2012
2013,le_job_growth,2013
2014,le_job_growth,2014
2015,le_job_growth,2015
2016,le_job_growth,2016
2017,le_job_growth,2016
2005,lsp_protected_land,2005
2006,lsp_protected_land,2006
2007,lsp_protected_land,2007
2008,lsp_protected_land,2008
2009,lsp_protected_land,2009
2010,lsp_protected_land,2010
2011,lsp_protected_land,2011
2012,lsp_protected_land,2012
2013,lsp_protected_land,2013
2014,lsp_protected_land,2014
2015,lsp_protected_land,2015
2016,lsp_protected_land,2016
2017,lsp_protected_land,2017
2005,lsp_protected_marine,2005
2006,lsp_protected_marine,2006
2007,lsp_protected_marine,2007
2008,lsp_protected_marine,2008
2009,lsp_protected_marine,2009
2010,lsp_protected_marine,2010
2011,lsp_protected_marine,2011
2012,lsp_protected_marine,2012
2013,lsp_protected_marine,2013
2014,lsp_protected_marine,2014
2015,lsp_protected_marine,2015
2016,lsp_protected_marine,2016
2017,lsp_protected_marine,2017
2005,mar_production,2005
2006,mar_production,2006
2007,mar_production,2007
2008,mar_production,2008
2009,mar_production,2009
2010,mar_production,2010
2011,mar_production,2011
2012,mar_production,2012
2013,mar_production,2013
2014,mar_production,2014
2015,mar_production,2015
2016,mar_production,2016
2017,mar_production,2017
2005,prs_sqi,2006
2006,prs_sqi,2006
2007,prs_sqi,2007
2008,prs_sqi,2008
2009,prs_sqi,2009
2010,prs_sqi,2010
2011,prs_sqi,2010
2012,prs_sqi,2010
2013,prs_sqi,2010
2014,prs_sqi,2010
2015,prs_sqi,2010
2016,prs_sqi,2010
2017,prs_sqi,2010
2005,prs_wqi,2006
2006,prs_wqi,2006
2007,prs_wqi,2007
2008,prs_wqi,2008
2009,prs_wqi,2009
2010,prs_wqi,2010
2011,prs_wqi,2010
2012,prs_wqi,2010
2013,prs_wqi,2010
2014,prs_wqi,2010
2015,prs_wqi,2010
2016,prs_wqi,2010
2017,prs_wqi,2010
2005,prs_pathogens,2005
2006,prs_pathogens,2006
2007,prs_pathogens,2007
2008,prs_pathogens,2008
2009,prs_pathogens,2009
2010,prs_pathogens,2010
2011,prs_pathogens,2011
2012,prs_pathogens,2012
2013,prs_pathogens,2013
2014,prs_pathogens,2014
2015,prs_pathogens,2015
2016,prs_pathogens,2016
2017,prs_pathogens,2017
2005,prs_trash,2006
2006,prs_trash,2006
2007,prs_trash,2007
2008,prs_trash,2008
2009,prs_trash,2009
2010,prs_trash,2010
2011,prs_trash,2011
2012,prs_trash,2012
2013,prs_trash,2013
2014,prs_trash,2014
2015,prs_trash,2015
2016,prs_trash,2016
2017,prs_trash,2017
2005,res_spi,2016
2006,res_spi,2016
2007,res_spi,2016
2008,res_spi,2016
2009,res_spi,2016
2010,res_spi,2016
2011,res_spi,2016
2012,res_spi,2016
2013,res_spi,2016
2014,res_spi,2016
2015,res_spi,2016
2016,res_spi,2016
2017,res_spi,2017
2005,sp_genetic,2010
2006,sp_genetic,2010
2007,sp_genetic,2010
2008,sp_genetic,2010
2009,sp_genetic,2010
2010,sp_genetic,2010
2011,sp_genetic,2010
2012,sp_genetic,2010
2013,sp_genetic,2011
2014,sp_genetic,2012
2015,sp_genetic,2013
2016,sp_genetic,2014
2017,sp_genetic,2015
2005,ss_spi,2016
2006,ss_spi,2016
2007,ss_spi,2016
2008,ss_spi,2016
2009,ss_spi,2016
2010,ss_spi,2016
2011,ss_spi,2016
2012,ss_spi,2016
2013,ss_spi,2016
2014,ss_spi,2016
2015,ss_spi,2016
2016,ss_spi,2016
2017,ss_spi,2017
2005,ss_wgi,2010
2006,ss_wgi,2010
2007,ss_wgi,2010
2008,ss_wgi,2010
2009,ss_wgi,2010
2010,ss_wgi,2010
2011,ss_wgi,2010
2012,ss_wgi,2010
2013,ss_wgi,2011
2014,ss_wgi,2012
2015,ss_wgi,2013
2016,ss_wgi,2014
2017,ss_wgi,2015
2005,tr_beach_closures,2005
2006,tr_beach_closures,2006
2007,tr_beach_closures,2007
2008,tr_beach_closures,2008
2009,tr_beach_closures,2009
2010,tr_beach_closures,2010
2011,tr_beach_closures,2011
2012,tr_beach_closures,2012
2013,tr_beach_closures,2013
2014,tr_beach_closures,2014
2015,tr_beach_closures,2015
2016,tr_beach_closures,2016
2017,tr_beach_closures,2017
2005,tr_job_growth,2008
2006,tr_job_growth,2008
2007,tr_job_growth,2008
2008,tr_job_growth,2008
2009,tr_job_growth,2009
2010,tr_job_growth,2010
2011,tr_job_growth,2011
2012,tr_job_growth,2012
2013,tr_job_growth,2013
2014,tr_job_growth,2014
2015,tr_job_growth,2015
2016,tr_job_growth,2016
2017,tr_job_growth,2016
2005,wgi_all,2010
2006,wgi_all,2010
2007,wgi_all,2010
