"","year","rgn_id","score","rgn_name"
"123",2010,NA,NA,"Mid-Atlantic Bight"
"124",2011,NA,NA,"Mid-Atlantic Bight"
"125",2012,NA,NA,"Mid-Atlantic Bight"
"126",2013,NA,NA,"Mid-Atlantic Bight"
"127",2014,NA,NA,"Mid-Atlantic Bight"
"128",2015,NA,NA,"Mid-Atlantic Bight"
"129",2016,NA,NA,"Mid-Atlantic Bight"
"130",2017,NA,NA,"Mid-Atlantic Bight"
"131",2005,NA,NA,"Offshore"
"132",2006,NA,NA,"Offshore"
"133",2007,NA,NA,"Offshore"
"134",2008,NA,NA,"Offshore"
"135",2009,NA,NA,"Offshore"
"136",2010,NA,NA,"Offshore"
"137",2011,NA,NA,"Offshore"
"138",2012,NA,NA,"Offshore"
"139",2013,NA,NA,"Offshore"
"140",2014,NA,NA,"Offshore"
"141",2015,NA,NA,"Offshore"
"142",2016,NA,NA,"Offshore"
"143",2017,NA,NA,"Offshore"
