rgn_id,year,pressure_score,rgn_name
11,2011,0.545771361908168,Rhode Island
1,2012,0.0037223699854847026,Offshore
2,2012,0.2948323650793672,Georges Bank
3,2012,0.1924522150689602,Gulf of Maine
4,2012,0.4003948300345336,Mid-Atlantic Bight
5,2012,0.33435799200038896,Connecticut
6,2012,0.2970075964645588,Maine
7,2012,0.36610969401193744,Massachusetts-North
8,2012,0.479541044415799,Massachusetts-South
9,2012,0.31266071886644453,New Hampshire
10,2012,0.4827050967627773,New York
11,2012,0.30119627460727705,Rhode Island
1,2013,0.004582977483004543,Offshore
2,2013,0.21851781840934423,Georges Bank
3,2013,0.17672503425317182,Gulf of Maine
4,2013,0.2907288501889049,Mid-Atlantic Bight
5,2013,0.36612082259079287,Connecticut
6,2013,0.301778079749884,Maine
7,2013,0.24104023140341427,Massachusetts-North
