region_id,year,total_production,total_catch,w_fis,w_mar
10,2015,13610699.727976406,6321517.2216904005,0.3171507332904117,0.6828492667095882
10,2016,13067319.738653606,7092952.573091855,0.3518282126060108,0.6481717873939892
10,2017,10437879.791242404,5573489.052452099,0.34809572540994926,0.6519042745900507
11,2005,547865.2426753347,6806736.9911762085,0.9255071552131485,0.07449284478685148
11,2006,718197.118678035,9052567.735219998,0.9264953021163423,0.07350469788365765
11,2007,918240.8853478965,9457375.710997345,0.9115001140586341,0.08849988594136593
11,2008,1080410.9533504953,9709729.051667111,0.8998705343166924,0.1001294656833076
11,2009,1144825.7266848765,9563083.754336582,0.8930859726901924,0.10691402730980759
11,2010,1272186.4240202366,10571898.893797029,0.892588883828246,0.10741111617175403
11,2011,1470334.624023389,9303488.041337885,0.8635271184896485,0.13647288151035153
11,2012,1680239.884026742,11336787.360138647,0.8709198457904531,0.12908015420954688
11,2013,2097884.041366749,15194474.447373489,0.8786814393922744,0.12131856060772561
11,2014,2592633.576041269,17820500.453428123,0.8729918898147428,0.12700811018525715
11,2015,3157256.9973835764,15913278.339464804,0.8344431898939367,0.16555681010606327
11,2016,3362098.3840534524,12873557.799024442,0.7929188481117443,0.2070811518882557
11,2017,3488308.0227221255,7486693.889189908,0.6821587776731055,0.3178412223268945
12,2005,44998924.11385103,463642275.15319335,0.9115311064485244,0.08846889355147558
12,2006,40651809.435884744,456812639.57569015,0.9182819807191109,0.08171801928088906
12,2007,41182439.809806764,432641911.5038604,0.9130850077763428,0.08691499222365717
12,2008,48226065.809066616,427498548.8695449,0.8986260867715516,0.10137391322844835
12,2009,52084349.195143715,419322639.587778,0.8895129889151303,0.11048701108486969
12,2010,57849508.55175034,400573310.88330317,0.8738075285540053,0.12619247144599466
12,2011,58862579.421045765,385277949.8363654,0.8674685700954557,0.13253142990454425
12,2012,64184757.24672782,372711844.9089961,0.8530893650121584,0.14691063498784163
12,2013,69164656.56795782,393165351.548355,0.8503998110575652,0.14960018894243476
12,2014,77066499.37503038,388670080.8864196,0.8345277080624252,0.16547229193757484
12,2015,83516980.94063538,388102602.23833585,0.8229145185666682,0.1770854814333318
12,2016,86431987.71382985,377175852.8196485,0.8135665962543436,0.18643340374565642
12,2017,87050892.59619038,331899970.1784696,0.7922169391902835,0.20778306080971654
1,2005,NA,26271968.737477083,1,0
1,2006,NA,24498134.663518842,1,0
1,2007,NA,21132116.348984484,1,0
1,2008,NA,17776976.691337794,1,0
1,2009,NA,15848474.613803184,1,0
1,2010,NA,15564270.501570733,1,0
1,2011,NA,15669420.10028939,1,0
1,2012,NA,13727459.355127692,1,0
1,2013,NA,11399530.148998493,1,0
1,2014,NA,9012033.840523796,1,0
1,2015,NA,10133771.377603421,1,0
1,2016,NA,10693964.946736444,1,0
1,2017,NA,10385271.006906379,1,0
2,2005,NA,80087459.4501743,1,0
2,2006,NA,70897927.4669205,1,0
2,2007,NA,65885850.46380907,1,0
2,2008,NA,66101698.339982964,1,0
2,2009,NA,71656502.87220353,1,0
2,2010,NA,68674560.70255655,1,0
2,2011,NA,78646694.39084081,1,0
2,2012,NA,79915807.51102726,1,0
2,2013,NA,90478563.01425844,1,0
2,2014,NA,86002454.28601263,1,0
2,2015,NA,87925368.63843971,1,0
2,2016,NA,82229795.59102383,1,0
2,2017,NA,71936472.9548476,1,0
3,2005,NA,182087493.18065178,1,0
3,2006,NA,177722938.94707677,1,0
3,2007,NA,164802983.25633293,1,0
3,2008,NA,157157360.05691466,1,0
3,2009,NA,151977469.84477785,1,0
3,2010,NA,146374341.50667655,1,0
3,2011,NA,145023278.86810812,1,0
3,2012,NA,141078305.8541515,1,0
3,2013,NA,150436890.80834058,1,0
3,2014,NA,151236192.31503555,1,0
3,2015,NA,151593363.28266865,1,0
3,2016,NA,149063221.32539174,1,0
3,2017,NA,135490755.54526004,1,0
4,2005,NA,103424437.17009681,1,0
4,2006,NA,112166330.65776211,1,0
4,2007,NA,111252083.58430696,1,0
4,2008,NA,117108649.42818522,1,0
4,2009,NA,114582155.59337445,1,0
4,2010,NA,106837257.0770939,1,0
4,2011,NA,92217820.06806076,1,0
4,2012,NA,85100927.96957654,1,0
4,2013,NA,85718665.50625253,1,0
4,2014,NA,83534399.58829178,1,0
4,2015,NA,82608778.10960457,1,0
4,2016,NA,79757169.91863587,1,0
4,2017,NA,67152098.94416988,1,0
