region_id,year,pressure_score,rgn_name
6,2011,0.05745235537830016,Maine
7,2011,0.09223180091319158,Massachusetts-North
8,2011,0.10969979430354222,Massachusetts-South
9,2011,0.10012470841954607,New Hampshire
10,2011,0.0867568693764798,New York
11,2011,0.13354733231753865,Rhode Island
1,2012,9.108440192462143e-4,Offshore
2,2012,0.07661690099507278,Georges Bank
3,2012,0.047550849864911995,Gulf of Maine
4,2012,0.10121165438229729,Mid-Atlantic Bight
5,2012,0.08181561184973699,Connecticut
6,2012,0.07268193734248041,Maine
7,2012,0.08958508333578764,Massachusetts-North
8,2012,0.11734112791408789,Massachusetts-South
9,2012,0.07650640487260775,New Hampshire
10,2012,0.13313239774543198,New York
11,2012,0.07370111690750399,Rhode Island
1,2013,0.0011214300702662105,Offshore
2,2013,0.05373736451489716,Georges Bank
3,2013,0.043243802120746175,Gulf of Maine
4,2013,0.07149270879246443,Mid-Atlantic Bight
5,2013,0.08958780659934668,Connecticut
6,2013,0.07384348147565552,Maine
7,2013,0.058981255016290174,Massachusetts-North
8,2013,0.03888584099002026,Massachusetts-South
9,2013,0.07550513821252443,New Hampshire
10,2013,0.06965167375869552,New York
11,2013,0.061473205737397986,Rhode Island
1,2014,0.0011760700677953151,Offshore
2,2014,0.03810314766040989,Georges Bank
3,2014,0.04257964887235872,Gulf of Maine
4,2014,0.032327081277038816,Mid-Atlantic Bight
5,2014,0.04647774364691707,Connecticut
6,2014,0.08210247750545646,Maine
7,2014,0.07043461950014855,Massachusetts-North
8,2014,0.03391861152341446,Massachusetts-South
9,2014,0.0685553092748747,New Hampshire
10,2014,0.056754994922120675,New York
11,2014,0.0630254266419595,Rhode Island
1,2015,0.0025607433180649007,Offshore
2,2015,0.06425619040185201,Georges Bank
3,2015,0.043763055546103914,Gulf of Maine
4,2015,0.05527416469602456,Mid-Atlantic Bight
5,2015,0.0490459011747866,Connecticut
6,2015,0.08344432458080694,Maine
7,2015,0.10999020125911188,Massachusetts-North
8,2015,0.0710055230349971,Massachusetts-South
9,2015,0.30190306163709096,New Hampshire
10,2015,0.057512064560952786,New York
11,2015,0.08656728204769232,Rhode Island
