term,estimate,std.error,statistic,p.value,adj_r_squared,aicc,yrs,rgns,params,intercept,rmse,rsquared,mae,model,goal,lag,model_error
factor(region_id)7,0.0172473167520221,0.009998877338154062,1.7249253259872679,0.08860561978602831,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(region_id)8,-0.010475515800940995,0.008377261682607306,-1.250470165291606,0.21496422049268968,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(region_id)9,0.0039477715339080914,0.008209246557802906,0.4808932837028419,0.6319739001401458,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(region_id)10,-0.0074276945704901684,0.00903126679888238,-0.8224421596546507,0.41339826301128657,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(region_id)11,-0.00280404073670648,0.008283834206336832,-0.33849551631073094,0.7359231810007794,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2006,0.0240120626149388,0.01024068136772142,2.344771969043457,0.021651369284122434,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2007,0.008260957305906402,0.010062285117278118,0.8209822331233065,0.4142242041300078,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2008,-0.004567807937610394,0.010249718394352932,-0.4456520425114334,0.6571155569088893,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2009,9.191251269135075e-4,0.010210541358551303,0.09001727671802068,0.9285102996649075,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2010,0.001075447399162713,0.011110803135735174,0.096792948810676,0.9231456208368631,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2011,0.01772490629223313,0.010534987046151861,1.6824801221476153,0.09658020006009359,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2012,-0.0025898395520104326,0.010569117604234986,-0.24503838910569964,0.807087138066331,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2013,0.005231852197013607,0.010673864970818328,0.4901553665253552,0.6254360231385299,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
factor(year)2014,-0.008677016003405418,0.011456447083731032,-0.7573915315968592,0.45115723295745125,0.33272855260882417,-445.59993668966456,11,7,37,TRUE,0.022892667981041368,0.19928857963583474,0.016077175786496024,prs_ecol_soc,CW,1,NA
