goal,dimension,region_id,score,year
FP,trend,11,NaN,2005
HAB,future,0,67.88,2005
HAB,future,1,96.03,2005
HAB,future,2,66.75,2005
HAB,future,3,59.95,2005
HAB,future,4,64.73,2005
HAB,future,5,71.22,2005
HAB,future,6,93.16,2005
HAB,future,7,53.72,2005
HAB,future,8,59.47,2005
HAB,future,9,66.59,2005
HAB,future,10,60.48,2005
HAB,future,11,54.61,2005
HAB,pressures,1,,2005
HAB,pressures,2,,2005
HAB,pressures,3,,2005
HAB,pressures,4,,2005
HAB,pressures,5,,2005
HAB,pressures,6,,2005
HAB,pressures,7,,2005
HAB,pressures,8,,2005
HAB,pressures,9,,2005
HAB,pressures,10,,2005
HAB,pressures,11,,2005
HAB,resilience,1,,2005
HAB,resilience,2,,2005
HAB,resilience,3,,2005
HAB,resilience,4,,2005
HAB,resilience,5,,2005
HAB,resilience,6,,2005
HAB,resilience,7,,2005
HAB,resilience,8,,2005
HAB,resilience,9,,2005
HAB,resilience,10,,2005
HAB,resilience,11,,2005
HAB,score,0,67.88,2005
HAB,score,1,96.03,2005
HAB,score,2,66.75,2005
HAB,score,3,59.95,2005
HAB,score,4,64.73,2005
HAB,score,5,71.22,2005
HAB,score,6,93.16,2005
HAB,score,7,53.72,2005
HAB,score,8,59.47,2005
HAB,score,9,66.59,2005
HAB,score,10,60.48,2005
HAB,score,11,54.61,2005
HAB,status,0,67.88,2005
HAB,status,1,96.03,2005
HAB,status,2,66.75,2005
HAB,status,3,59.95,2005
HAB,status,4,64.73,2005
HAB,status,5,71.22,2005
HAB,status,6,93.16,2005
HAB,status,7,53.72,2005
HAB,status,8,59.47,2005
HAB,status,9,66.59,2005
HAB,status,10,60.48,2005
HAB,status,11,54.61,2005
HAB,trend,1,,2005
HAB,trend,2,,2005
HAB,trend,3,,2005
HAB,trend,4,,2005
HAB,trend,5,,2005
HAB,trend,6,,2005
HAB,trend,7,,2005
HAB,trend,8,,2005
HAB,trend,9,,2005
HAB,trend,10,,2005
HAB,trend,11,,2005
HS,future,0,68.62,2005
HS,future,1,NaN,2005
HS,future,2,NaN,2005
HS,future,3,NaN,2005
HS,future,4,NaN,2005
HS,future,5,69.85,2005
HS,future,6,100,2005
HS,future,7,55.1,2005
HS,future,8,55.06,2005
HS,future,9,79.91,2005
HS,future,10,60.53,2005
HS,future,11,59.93,2005
HS,pressures,1,29.46,2005
HS,pressures,2,29.84,2005
